City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,belaya gora,68.5333,146.4167,-43.2,100,92,2.8,RU,1674754741
178,kuzino,57.0224,59.4412,20.23,91,100,13.02,RU,1674754741
179,tual,-5.6667,132.75,82.76,78,81,9.13,ID,1674754741
180,hobart,-42.8794,147.3294,55.26,78,100,0.0,AU,1674754742
181,tuktoyaktuk,69.4541,-133.0374,-31.0,75,20,3.44,CA,1674754743
182,songea,-10.6833,35.65,67.35,88,75,4.61,TZ,1674754744
183,bouna,9.2667,-3.0,91.96,13,2,4.27,CI,1674754745
184,manggar,-2.8833,108.2667,78.6,83,100,8.48,ID,1674754747
185,akyab,20.15,92.9,69.64,77,17,7.14,MM,1674754748
186,pundaguitan,6.3711,126.1689,79.29,81,92,6.13,PH,1674754749
187,lompoc,34.6391,-120.4579,61.92,68,0,9.22,US,1674754750
188,sorland,67.667,12.6934,35.46,62,100,18.21,NO,1674754750
189,saint george,37.1041,-113.5841,43.43,44,0,3.44,US,1674754751
190,gambo,4.6482,22.2633,82.65,26,15,1.86,CF,1674754752
191,petropavlovsk-kamchatskiy,53.0452,158.6483,27.19,50,75,4.47,RU,1674754752
192,talnakh,69.4865,88.3972,-2.79,91,100,12.8,RU,1674754753
193,likasi,-10.9814,26.7333,63.63,95,73,3.74,CD,1674754754
194,sarakhs,36.5449,61.1577,29.66,59,3,1.79,IR,1674754755
195,gonen,40.1049,27.654,49.96,42,100,2.33,TR,1674754755
196,iberia,29.9502,-91.7507,51.87,57,0,11.5,US,1674754757
197,maniitsoq,65.4167,-52.9,15.4,75,100,16.42,GL,1674754757
198,cayenne,4.9333,-52.3333,78.84,78,0,6.91,GF,1674754758
199,victoria,22.2855,114.1577,64.45,70,100,5.99,HK,1674754461
200,mwinilunga,-11.7358,24.4293,63.64,96,100,4.12,ZM,1674754759
201,lavrentiya,65.5833,-171.0,-10.73,98,99,5.01,RU,1674754761
202,nalut,30.3333,10.85,48.13,45,56,8.7,LY,1674754761
203,vestmannaeyjar,63.4427,-20.2734,47.39,93,100,26.46,IS,1674754763
204,vila velha,-20.3297,-40.2925,77.95,88,75,10.36,BR,1674754763
205,khilok,51.3674,110.4676,-2.63,86,78,5.97,RU,1674754764
206,salinopolis,-0.6136,-47.3561,75.58,93,99,8.34,BR,1674754765
207,la peca,-5.6111,-78.435,83.46,51,54,4.83,PE,1674754765
208,nanakuli,21.3906,-158.1547,73.35,70,0,6.91,US,1674754766
209,esmeraldas,-19.7625,-44.3139,86.11,77,46,6.53,BR,1674754766
210,watertown,42.3709,-71.1828,47.41,77,100,21.85,US,1674754540
211,auki,-8.7676,160.7034,76.98,87,99,3.18,SB,1674754767
212,hithadhoo,-0.6,73.0833,81.34,74,51,6.2,MV,1674754767
213,mehamn,71.0357,27.8492,31.95,69,75,23.02,NO,1674754768
214,buala,-8.145,159.5921,79.07,82,100,2.57,SB,1674754769
215,labuhan,-6.8844,112.2051,76.62,88,100,9.24,ID,1674754769
216,jalu,29.0331,21.5482,63.46,51,0,8.3,LY,1674754770
217,dumas,35.8656,-101.9732,35.53,47,0,12.66,US,1674754770
218,ancud,-41.8697,-73.8203,60.37,56,7,9.8,CL,1674754771
219,dong hoi,17.4833,106.6,65.62,87,62,4.97,VN,1674754772
220,svetlogorsk,52.6333,29.7333,27.36,79,16,5.88,BY,1674754772
221,pitogo,13.7847,122.0881,75.07,92,100,13.82,PH,1674754773
222,poum,-20.2333,164.0167,81.37,78,5,5.14,NC,1674754773
223,kontagora,10.3999,5.4695,88.75,11,1,0.72,NG,1674754774
224,broken hill,-31.95,141.4333,69.89,31,2,9.44,AU,1674754774
225,westport,41.1415,-73.3579,45.73,59,100,18.99,US,1674754489
226,half moon bay,37.4636,-122.4286,60.67,47,0,11.5,US,1674754775
227,tahta,26.7693,31.5021,62.53,22,35,1.36,EG,1674754775
228,brenham,30.1669,-96.3977,52.14,63,0,5.75,US,1674754628
229,iqaluit,63.7506,-68.5145,-9.31,63,100,17.27,CA,1674754776
230,bonavista,48.6499,-53.1147,28.98,79,76,18.81,CA,1674754776
231,katsina,12.9894,7.6006,83.14,10,6,8.14,NG,1674754776
232,saint-ambroise,48.5501,-71.3324,20.57,79,100,0.0,CA,1674754777
233,kodiak,57.79,-152.4072,33.31,86,0,6.91,US,1674754777
234,okhotsk,59.3833,143.3,4.62,75,100,20.49,RU,1674754778
235,ha giang,22.8333,104.9833,58.28,83,45,1.03,VN,1674754778
236,freeport,40.6576,-73.5832,45.52,61,100,26.46,US,1674754778
237,vestmanna,62.1564,-7.1664,41.92,87,100,17.27,FO,1674754779
238,buenos aires,-34.6132,-58.3772,90.95,59,0,11.5,AR,1674754779
239,birao,10.2849,22.7882,81.0,13,34,6.98,CF,1674754780
240,durant,33.994,-96.3708,46.58,65,0,9.22,US,1674754737
241,kahului,20.8947,-156.47,72.84,91,100,9.22,US,1674754780
242,victor harbor,-35.5667,138.6167,56.68,88,1,5.7,AU,1674754781
243,washington,47.5001,-120.5015,45.97,93,88,1.54,US,1674754356
244,yelan,50.949,43.7378,15.04,88,61,5.21,RU,1674754781
